material,DUT-4
temperature,303.0
adsorbate,octamethylcyclotetrasiloxane
pressure_mode,absolute
pressure_unit,Pa
adsorbent_basis,mass
adsorbent_unit,g
loading_basis,mass
loading_unit,g
data:[pressure,loading,[otherdata],branch data]
pressure,loading,branch
0.003390442901771012,0.0,ads
1.0855070954957438,0.49009696146245024,ads
2.098094510121649,0.5007248950098814,ads
3.0142450148597266,0.5145210597826091,ads
3.917245021608069,0.5315641983695655,ads
4.8684634622649385,0.5408457880434782,ads
5.898584799854512,0.5435091403162056,ads
6.841036222621832,0.549237277667984,ads
7.761570157859096,0.5526664402173913,ads
8.73908951356559,0.5554872776679843,ads
9.585104011918945,0.5608641613142291,ads
8.695254565153189,0.5605453310276678,des
7.757186662968399,0.5596050518774701,des
6.867337192312935,0.5585860301383399,des
5.9643372251286,0.5575739562747034,des
4.890380937664354,0.5560871109189726,des
3.9084780312070366,0.5545940896739128,des
3.023012005301097,0.5529605669466404,des
2.045492566909171,0.550893959980237,des
1.1249585534451836,0.5484421319169958,des
0.0034550020635649,0.4877331398221344,des

