temperature,313.0
material,PCN-777
adsorbate,octamethylcyclotetrasiloxane
pressure_mode,absolute
pressure_unit,Pa
adsorbent_basis,mass
adsorbent_unit,g
loading_basis,mass
loading_unit,g
data:[pressure,loading,[otherdata],branch data]
pressure,loading,branch
1.1389351753503167,0.037859196,ads
2.2778703507006335,0.0460725659999999,ads
3.7964505845010557,0.060568054,ads
5.6946758767515835,0.074721689,ads
7.972546227452217,0.090056273,ads
9.49112646125264,0.11029668,ads
11.389351753503167,0.129871139,ads
13.6672221042038,0.156074009,ads
15.56544739645429,0.198383964,ads
17.463672688704857,0.264841227,ads
18.98225292250528,1.757960864,ads
21.260123273205874,1.7724008569999998,ads
22.778703507006334,1.775675106,ads
24.676928799256864,1.778791747,ads
26.954799149957495,1.781812935,ads
